id	mass	x	y	vel_x	vel_y
0	2.765053984454951e+39	-7055999236043.282	743880264366.709	373789.71170846536	-238609.98501058877
1	4.219002065829863e+39	4714726546856.314	748618493112.7051	651884.5104652017	426518.8503557078
2	6.612728527255797e+39	-1441452793459.6875	1479578376297.4941	-450116.08654929616	840619.5833915372
3	3.7726414561480605e+39	-7004998680059.478	-4223600796541.535	953594.1318162146	281160.1658926208
4	2.9551977851410617e+38	8329480996658.1875	8976692941425.238	368764.58519994025	-118806.98259635048
5	3.783397713621841e+39	-8471867709056.764	-8582139836870.502	205399.8266068215	463275.6362204731
6	6.38032275034893e+39	4532399775055.096	-2683188248828.1787	373634.2470817168	25452.62924249971
7	8.942547511408277e+39	1114437882056.4004	4778327017210.232	-31141.960282431217	189640.41298333183
8	5.501075205769969e+39	-2053607954339.2402	816779889737.125	-138793.41290956805	326534.0696253029
9	9.058413576664356e+39	-3420230467769.4277	-1713959108711.1758	482058.8917740679	417332.59547847696
10	8.379144302630428e+39	-5334777631640.042	3447981457754.1504	-99076.19694010483	345825.1392159469
11	3.1366404263235225e+38	-3169717796974.2783	-6984878333530.951	-115040.18675087299	-795823.2971132908
12	3.929595013195092e+39	-6076799517285.785	3300051846253.127	-718933.8191498225	-718909.5780342005
13	2.6541742550798953e+39	4288664973165.8633	-1747628393265.6748	698231.6097594993	-702705.673336301
14	8.162011157156379e+38	-9016922783457.834	2022552951683.7695	856449.8259766903	-222383.09807398473
15	7.877374249304043e+39	-6132600654520.328	4576465296924.514	37982.4341004265	-996384.0063215705
16	6.173994246143972e+39	-1481672573083.7012	-8644565472157.513	732229.1599340686	615790.3053871503
17	6.62038521397913e+39	3941721977410.24	4206042108255.1855	-848765.0724844218	-679876.1140304415
18	6.297925535907354e+39	-7898658281715.689	6616650380834.867	301880.5714765191	-359580.35189184104
19	3.2167387000897985e+39	2927721950765.172	-9698499791867.248	-182164.79015778052	-878122.1138511539
20	4.369529798255496e+39	7967278066378.516	-2427086305346.495	-9855.018520850805	-419409.81724528
21	2.175690156849436e+39	-6732554680105.121	-9875448614595.758	46870.23289380793	316340.3633044709
22	5.999009680323351e+39	-7457854722896.915	3541919482656.2793	-906924.0277667758	23557.924133063643
23	7.282206609147626e+39	339426921019.0254	-4700404398931.159	-608294.0199593871	849919.4559317855
24	5.838120495564059e+38	-492981503979.2285	-9012813798870.799	-714643.33615832	-123077.64263696573
25	2.0393670643083328e+39	-1504514542481.33	6309499945361.869	-920087.8545896714	-344095.4850910087
26	9.682249775839716e+39	-7051210149696.734	6385773308332.082	-654893.808364059	-621631.8529031398
27	7.514344131967877e+38	-1030613507589.7246	5423472637305.049	86272.06230404158	816445.0758792339
28	4.216244265822804e+39	-6131983561854.677	7030880976227.039	-860923.8297262558	619179.0489594645
29	3.834501946108049e+38	4096332904520.502	7183917039843.719	-592225.8463843808	683520.4331718576
30	2.532411667308985e+39	1974819212036.879	6167537652612.518	-796383.2529428614	288371.57575544575
31	1.5620331440260394e+39	5154862995178.215	-3563235187960.3145	-799488.2404329407	890068.0192076063
32	6.186785396740674e+39	4723046935482.527	3963007661462.461	51036.067771012196	-508717.7031345871
33	4.764516783250721e+39	5920956250052.629	4149615797829.8184	-214694.0116457143	460952.0930328795
34	3.2359179342516485e+39	-1610569082997.8105	-3738927951327.0137	-277086.05932656827	-531605.0878252952
35	4.7950312684626505e+39	5207749250345.541	4934336765500.387	246687.245830714	-159076.54394327465
36	2.5997553323450207e+39	1742033699039.412	-7756903803954.154	-246312.4759220119	764105.6441154806
37	9.434914475775964e+39	-764769299347.1719	7609436156618.918	714551.8262513394	-890727.8232880873
38	4.6122768056621337e+39	-7615127020168.629	5915751638991.559	153012.67047240445	-472550.12894972076
