id	mass	x	y	vel_x	vel_y
0	4.514998554194208e+39	-2307190968568.8467	-574440792490.4688	-461656.5994775046	537651.654797785
1	3.360490063738497e+39	1803887650795.996	-8723679863235.599	-735138.7325453062	529229.6124141857
2	2.0429242863180585e+39	-5469343321889.992	-4492667743462.2	479627.5663507306	418854.4919081307
3	2.298943680801313e+38	8425736076634.0625	-9978662445349.617	627757.2135420763	-762668.2522653298
4	9.131008791686598e+39	-287774782434.2285	4939409578350.24	-961808.6444271113	-386338.1036579831
5	2.6915853317893578e+39	-5241951931362.254	9538678401977.688	643021.7418518297	330546.736632871
6	9.974161801947646e+38	1791768454566.8828	-6225886004623.427	800899.0700312569	848924.3131458596
7	9.880141078494834e+39	-7411946761967.714	-8603185186381.408	-240628.17151924025	207462.9457769189
8	9.68362124520758e+39	2972238008198.967	-1751723069787.3232	-130043.51886272756	159279.92314642784
9	2.5879819933535753e+39	-3885214550257.463	5256438076126.639	-945029.4966928903	-472471.39080137806
10	2.3506558660422674e+39	-1011135674531.4043	-5902070253567.498	-542860.0214138763	-947583.4745745002
11	9.827944790428891e+39	-9577475474427.176	-5067465368403.854	-557325.6909146523	-646856.0654053872
12	1.557680910907513e+39	124854055378.9668	-1306703639298.3057	-766059.1909119773	-214462.9965940843
13	6.920011474004086e+39	-1782974575082.5723	-7249504552560.76	-204216.79869610898	703052.2460029961
14	2.3666103631026868e+39	-4991395680961.095	-4638357935828.601	961888.1138350773	718352.3924198153
15	3.2696148240209425e+39	-199453034131.73047	-8236467773187.898	-530688.8221364596	867838.4355571968
16	2.2439213876838715e+39	-8277440293746.523	-906568760077.7012	134334.86879914277	980963.025219057
17	1.2435323386937369e+39	508464756787.1699	3078195418989.0723	-480958.6386108435	572233.3969784239
18	7.231968596589033e+38	-9941976780679.256	4720622960708.416	50669.736092481064	805492.8130519888
19	2.0874287553132986e+39	2981771265965.8867	953433674460.5449	374144.6629569179	362368.29577518674
20	3.999180808645946e+39	-6230642954273.897	6857396325414.309	68652.17385288118	-971984.1504341733
21	8.459856941550532e+39	-2085455235016.3428	-6665751017989.1875	-848164.8343685395	419268.1844786946
22	5.681510947125596e+39	-9080211560176.836	2575018617342.035	378314.0862867057	362425.61691029207
23	3.339731519556124e+39	1736723123070.3535	-391650950439.0879	269702.26759235864	-373927.1444111634
24	8.496376246522758e+39	-3182068175031.3447	-8845536584067.81	696076.9500807442	-562453.1528925252
25	8.511179724361173e+39	-546453413521.0332	-5233905357764.102	613851.4823474616	215255.9258125513
26	6.987589559626085e+36	8637051966330.918	-8564428197944.845	-960336.4747757366	-11206.796553133288
27	6.927438076018413e+39	-9772221596785.848	-9390303322533.508	-621345.6974282912	218159.43444962124
28	6.774453485529702e+39	-3118775463979.115	550224100490.5801	-488459.7087007756	152403.7155455849
29	7.280234827501412e+39	4849960655759.361	-6931451826580.53	-234922.48701998312	796385.0667374746
30	8.930153404062273e+39	8400592229232.398	4973260548488.762	937244.7253052557	909937.7868958174
31	9.071592289916742e+38	-9338381552522.414	6785187433522.324	324425.932217292	356227.4841167561
32	1.671385342371402e+39	-2249850983071.2197	-5722815447169.17	125472.45486744563	-111238.78535649937
33	1.9753309922895056e+39	-3270732705947.201	-8807676176655.816	452792.33209083416	598360.6214051084
34	1.498336351141527e+39	9261349230728.805	-85708467995.16016	-480957.2402333999	409347.6928885733
35	4.6832962746454875e+38	473781473968.6172	-9718847973458.277	288126.72458462906	-256964.0583233938
36	5.1435561452352864e+39	3154752371488.3555	7646832771937.305	374438.51281983964	372353.0737447124
37	6.766614612240536e+39	-3339774259892.716	-8021587448115.098	-985926.5047529964	-921135.9759737179
38	8.455865401864271e+38	3658456118690.75	6338147693243.27	657100.9107076668	224057.10454566102
39	8.653060082270143e+39	-2572551989843.843	5116417777543.49	-90127.33501126617	-832135.7656770193
40	3.932108943990383e+39	7070141006626.959	-3327187628162.585	64418.35550998547	660906.2109582508
41	7.630047190191782e+39	-778713667484.4492	9675864159474.059	-93573.04117407359	276233.4596790627
42	9.438756795912031e+39	4597945788801.271	-4380773193961.1914	500882.8196863192	825335.2346176549
43	3.952779884362702e+39	-9959051029407.045	5975809055602.068	-89964.7011677553	-250035.27065420488
44	6.027625170115377e+39	-5774291566662.57	7136210536990.965	356863.588224672	-570898.9540182597
45	3.687237323192517e+39	2862957408309.6055	-7418189359373.943	-873256.6343142269	505302.07047482836
46	1.5252702665738792e+39	7674884495872.746	-2145638044815.7607	716050.934443135	-202595.43211724877
47	6.510650689653855e+39	-820594410341.7637	-9552727664591.41	890791.2366765446	-161310.70700154407
48	2.4294379785733346e+39	5273821319049.068	-309953122783.5879	-828800.1245753925	993845.210655886
49	9.357975803995577e+39	9538052596670.0	1510676123916.537	-369306.59030207	-850453.40839221
50	2.6342240217309255e+39	5195864376794.301	6501021396813.133	955907.1275581226	-376905.758181673
51	7.852104075080088e+39	6184220613956.422	9589050268026.957	-729902.0408580443	658396.8030793811
52	9.539457014534612e+39	7725000172544.328	-7773778325816.047	-328045.8675090943	148014.37712483061
53	2.346121611585257e+39	3288737697842.7188	-4554480224392.485	-122316.80343798583	-890783.6535152129
54	5.091105135271051e+39	4107987944308.1094	4191906072507.293	-702240.6920735524	-55112.38000858843
55	5.3562287433656046e+39	-4744568604445.313	-9004246404516.113	572321.0363262787	526151.50608356
56	2.1204864190657204e+39	-6793760473776.236	6776218414671.596	-452713.90032312705	835978.674631237
57	5.252239971842615e+39	-4225918018328.8936	-3228866684480.001	-90767.23953729321	-651626.1584541454
58	2.296317209465899e+39	4968698454253.896	-221211126594.73438	646659.3706415892	953665.3896249752
59	3.1041180563700486e+39	3852361785982.9277	2997080676066.967	-903036.2685562852	-580099.2423778804
60	2.4909160427088008e+39	8518936541535.988	9531195286259.445	96683.84093109006	956849.1900768443
61	3.807978836821968e+39	-522466993846.4297	6378994275811.865	621570.8071906585	508792.0134763983
62	1.6084540631649647e+39	-3606931325675.422	7915653617897.066	954375.1652866558	158865.24933682662
63	2.454846575791604e+39	7617419756420.48	-642599371380.1211	-637885.6307058536	-959535.5126022118
64	5.864435370364718e+39	-7845920973470.555	9934428795219.04	589066.4636758955	311992.10176655883
