id	mass	x	y	vel_x	vel_y
0	2.92014e+39	5.50543e+15	8.47179e+15	3.12333e+10	4.80442e+10	
1	8.14225e+39	1.71364e+17	2.6777e+16	9.71447e+11	1.51832e+11	
2	5.59518e+38	2.95031e+16	4.67334e+16	1.67224e+11	2.64922e+11	
3	2.5884e+38	8.03026e+15	2.83101e+16	4.55165e+10	1.60536e+11	
4	9.8475e+39	1.64459e+17	5.76878e+16	9.32337e+11	3.27046e+11	
5	5.72943e+39	-3.48874e+15	2.3191e+16	-1.97989e+10	1.31515e+11	
6	9.2636e+38	-2.46487e+16	6.61046e+15	-1.39761e+11	3.74419e+10	
7	1.68564e+39	-1.32029e+16	-3.73794e+16	-7.48172e+10	-2.11954e+11	
8	1.04978e+39	5.69601e+17	5.69161e+17	3.22906e+12	3.22654e+12	
9	1.22251e+39	3.04665e+17	2.06767e+17	1.72714e+12	1.17218e+12	
10	9.95624e+39	-1.17797e+16	-7.39569e+15	-6.67506e+10	-4.19005e+10	
11	9.03987e+39	-1.42251e+17	-2.90413e+16	-8.06412e+11	-1.64608e+11	
12	5.59146e+39	1.86296e+16	2.3415e+16	1.0559e+11	1.32773e+11	
13	3.06184e+39	-2.64212e+16	2.65907e+15	-1.49804e+11	1.50623e+10	
14	6.87086e+39	-4.93109e+16	4.98165e+16	-2.79529e+11	2.824e+11	
15	3.94803e+38	-4.60345e+16	1.27615e+17	-2.60987e+11	7.23494e+11	
16	7.15605e+39	-2.9879e+16	-3.87583e+16	-1.69435e+11	-2.19723e+11	
17	5.84798e+39	-1.73794e+16	2.06565e+16	-9.84762e+10	1.17071e+11	
18	8.35035e+39	-1.71933e+16	2.93485e+15	-9.75072e+10	1.66664e+10	
19	3.55026e+39	1.47868e+17	-2.30591e+17	8.38298e+11	-1.30725e+12	
20	8.35636e+39	3.18825e+15	-1.30545e+16	1.80688e+10	-7.39811e+10	
21	4.4571e+39	3.94876e+16	-5.87764e+15	2.23885e+11	-3.33172e+10	
22	8.27524e+39	-3.80386e+16	-2.4671e+16	-2.15587e+11	-1.39869e+11	
23	6.8316e+39	-2.52277e+16	2.16889e+16	-1.43007e+11	1.22946e+11	
24	3.51486e+39	-3.55677e+17	3.7937e+17	-2.01633e+12	2.1506e+12	
25	9.77466e+39	-1.83294e+16	-1.28659e+16	-1.03939e+11	-7.29884e+10	
26	7.51147e+39	2.55973e+16	-3.54338e+16	1.45163e+11	-2.00911e+11	
27	5.40654e+37	2.66138e+17	-3.10255e+17	1.50877e+12	-1.75884e+12	
28	7.75089e+39	-2.59352e+16	-1.16816e+16	-1.47071e+11	-6.62703e+10	
29	6.96109e+39	-5.22531e+15	-3.71975e+16	-2.95698e+10	-2.1084e+11	
30	9.85867e+39	8.07346e+14	2.48848e+15	4.57494e+09	1.41057e+10	
31	6.09935e+39	-1.12651e+16	7.30865e+16	-6.38643e+10	4.14318e+11	
32	3.64989e+39	1.91809e+16	6.80375e+15	1.08774e+11	3.86028e+10	
33	5.33695e+39	-4.46241e+16	1.23459e+16	-2.53026e+11	7.00397e+10	
34	8.01428e+39	4.6853e+15	-8.91409e+14	2.6512e+10	-5.01753e+09	
35	8.72528e+39	1.49115e+16	-8.79744e+15	8.45632e+10	-4.99033e+10	
36	6.69169e+38	9.59603e+15	-1.79986e+16	5.44193e+10	-1.02018e+11	
37	1.92863e+39	1.04457e+18	1.27271e+18	5.92163e+12	7.2149e+12	
38	7.32927e+39	-1.15212e+16	-2.06265e+13	-6.53896e+10	-2.34214e+07	
39	3.35962e+39	3.73927e+16	-2.82905e+16	2.12023e+11	-1.60415e+11	
40	8.81546e+39	7.05433e+15	4.37597e+15	4.00231e+10	2.48245e+10	
41	3.77536e+39	1.80002e+16	-2.43052e+16	1.02033e+11	-1.37744e+11	
42	2.25769e+39	2.26702e+16	-2.01981e+16	1.28554e+11	-1.14536e+11	
43	6.87179e+39	-3.28536e+16	-1.79639e+16	-1.86236e+11	-1.0186e+11	
44	7.14577e+39	-8.29927e+15	1.11354e+16	-4.70596e+10	6.31109e+10	
45	8.63398e+38	-8.49308e+16	4.31953e+15	-4.81516e+11	2.44602e+10	
46	2.98765e+38	1.71181e+16	1.33456e+16	9.70759e+10	7.5648e+10	
47	8.08413e+39	1.27156e+16	-3.78974e+15	7.2128e+10	-2.14543e+10	
48	1.8712e+38	1.33858e+16	-4.61321e+15	7.58833e+10	-2.61113e+10	
49	5.63299e+38	1.04506e+16	-3.27682e+17	5.9209e+10	-1.85757e+12	
50	9.9798e+39	6.76826e+15	-1.83286e+16	3.83862e+10	-1.03922e+11	
51	2.59279e+39	-5.87402e+17	-5.90452e+17	-3.32994e+12	-3.34721e+12	
52	3.05154e+39	-1.03801e+17	5.47437e+17	-5.88433e+11	3.1034e+12	
53	5.79102e+39	-1.86474e+16	-3.12532e+15	-1.05721e+11	-1.77462e+10	
54	5.78247e+39	5.37352e+15	8.74775e+15	3.04832e+10	4.9578e+10	
55	8.62531e+39	-1.56407e+18	6.11967e+17	-8.86663e+12	3.46922e+12	
56	7.04327e+39	-6.18822e+15	-5.15667e+16	-3.50921e+10	-2.92353e+11	
57	1.72909e+39	-3.28381e+14	1.56903e+16	-1.83995e+09	8.89826e+10	
58	8.83696e+39	3.07865e+16	-8.40994e+16	1.745e+11	-4.76783e+11	
59	6.44494e+39	1.28644e+16	2.75865e+15	7.2967e+10	1.56197e+10	
60	3.9229e+39	2.46321e+15	-5.38932e+16	1.39364e+10	-3.05565e+11	
61	2.74068e+39	-8.34369e+15	-4.15441e+16	-4.7335e+10	-2.35563e+11	
62	8.9015e+39	-2.02095e+16	3.68708e+15	-1.14624e+11	2.09475e+10	
63	5.65247e+38	1.55684e+16	-6.51991e+15	8.82608e+10	-3.69903e+10	
64	5.45827e+39	-3.87142e+16	-3.60484e+16	-2.19447e+11	-2.04407e+11	
65	1.43141e+39	1.63827e+16	2.13346e+15	9.28887e+10	1.20812e+10	
66	2.78455e+39	1.8979e+16	3.39464e+16	1.07622e+11	1.92441e+11	
67	2.65236e+39	-3.92815e+16	1.45517e+16	-2.22668e+11	8.25368e+10	
68	3.992e+39	-4.09198e+16	-4.95338e+15	-2.31989e+11	-2.80893e+10	
69	3.82247e+39	1.33517e+16	-6.05404e+15	7.5737e+10	-3.43122e+10	
70	9.93452e+39	-5.98327e+16	-2.08027e+16	-3.39241e+11	-1.17962e+11	
71	5.36149e+39	1.34489e+16	1.9777e+16	7.62666e+10	1.1212e+11	
72	2.90854e+39	-8.40382e+15	-6.32856e+16	-4.75964e+10	-3.58765e+11	
73	7.27593e+39	5.59117e+15	-4.45827e+15	3.17033e+10	-2.53106e+10	
74	4.88376e+39	-1.23977e+17	4.82229e+16	-7.02842e+11	2.73318e+11	
75	7.68617e+39	-9.67103e+15	-8.74309e+16	-5.48336e+10	-4.95693e+11	
76	9.82201e+39	-7.79543e+15	1.63843e+16	-4.42261e+10	9.28468e+10	
