id	mass	x	y	vel_x	vel_y
0	4.515e+39	5.70386e+15	2.82262e+16	3.23475e+10	1.60014e+11	
1	3.36049e+39	3.56527e+15	1.11343e+16	2.01983e+10	6.31652e+10	
2	2.04292e+39	1.02223e+16	9.83554e+15	5.79776e+10	5.57817e+10	
3	2.29894e+38	-5.60059e+15	1.80215e+16	-3.17973e+10	1.02216e+11	
4	9.13101e+39	-7.06348e+16	-3.03398e+16	-4.00422e+11	-1.72022e+11	
5	2.69159e+39	-1.96481e+16	-1.05189e+16	-1.11353e+11	-5.96873e+10	
6	9.97416e+38	2.0989e+15	8.40186e+15	1.18796e+10	4.76626e+10	
7	9.88014e+39	-8.24308e+15	-2.77889e+15	-4.6686e+10	-1.57004e+10	
8	9.68362e+39	2.3634e+15	-1.11225e+15	1.33809e+10	-6.29193e+09	
9	2.58798e+39	2.8499e+15	1.22752e+16	1.61772e+10	6.95543e+10	
10	2.35066e+39	-4.59059e+16	4.53098e+15	-2.60233e+11	2.57194e+10	
11	9.82794e+39	2.10385e+16	6.35878e+15	1.19318e+11	3.60759e+10	
12	1.55768e+39	-1.27502e+15	-1.40536e+16	-7.23124e+09	-7.96544e+10	
13	6.92001e+39	-2.00021e+16	-2.44592e+15	-1.13378e+11	-1.38239e+10	
14	2.36661e+39	3.45172e+15	-4.28517e+15	1.95893e+10	-2.42609e+10	
15	3.26961e+39	-1.57567e+16	-4.18496e+14	-8.93196e+10	-2.32659e+09	
16	2.24392e+39	2.22456e+16	1.31872e+16	1.26153e+11	7.47617e+10	
17	1.24353e+39	-4.58598e+16	-1.4519e+16	-2.59978e+11	-8.23242e+10	
18	7.23197e+38	4.98919e+16	-2.56756e+15	2.8289e+11	-1.45822e+10	
19	2.08743e+39	2.06053e+16	9.83193e+15	1.16792e+11	5.57307e+10	
20	3.99918e+39	2.61143e+16	9.22229e+14	1.48074e+11	5.18907e+09	
21	8.45986e+39	-2.50564e+14	1.69803e+16	-1.40853e+09	9.62942e+10	
22	5.68151e+39	3.73563e+16	-3.15828e+16	2.11821e+11	-1.79055e+11	
23	3.33973e+39	8.80397e+15	-6.149e+15	4.99144e+10	-3.48695e+10	
24	8.49638e+39	-3.02753e+16	-1.02099e+16	-1.7161e+11	-5.78287e+10	
25	8.51118e+39	-3.49796e+16	2.04879e+15	-1.98292e+11	1.16452e+10	
26	6.98759e+36	1.45239e+16	9.56481e+16	8.22862e+10	5.42271e+11	
27	6.92744e+39	3.88286e+16	3.19313e+16	2.20172e+11	1.81069e+11	
28	6.77445e+39	-2.04973e+16	1.26768e+16	-1.16179e+11	7.18592e+10	
29	7.28023e+39	7.96557e+15	-6.9374e+15	4.51253e+10	-3.92847e+10	
30	8.93015e+39	-6.91686e+15	4.13182e+14	-3.9229e+10	2.2585e+09	
31	9.07159e+38	8.60979e+15	-7.86782e+15	4.88599e+10	-4.46378e+10	
32	1.67139e+39	-7.17729e+15	1.06002e+16	-4.06731e+10	6.01179e+10	
33	1.97533e+39	3.79541e+16	-3.68358e+16	2.15177e+11	-2.0877e+11	
34	1.49834e+39	1.06833e+17	8.86338e+16	6.05574e+11	5.02459e+11	
35	4.6833e+38	-6.04137e+15	1.96806e+16	-3.42505e+10	1.1162e+11	
36	5.14356e+39	-1.28829e+17	8.12285e+16	-7.30341e+11	4.60435e+11	
37	6.76661e+39	2.77928e+15	6.91483e+15	1.5784e+10	3.92656e+10	
38	8.45587e+38	1.74176e+15	-4.8223e+15	9.84536e+09	-2.7366e+10	
39	8.65306e+39	7.97375e+15	9.0432e+15	4.52176e+10	5.12306e+10	
40	3.93211e+39	-1.08567e+16	4.632e+15	-6.15821e+10	2.62825e+10	
41	7.63005e+39	9.37264e+15	-2.77322e+16	5.31383e+10	-1.57266e+11	
42	9.43876e+39	-8.47896e+16	1.3824e+17	-4.80693e+11	7.837e+11	
43	3.95278e+39	4.4667e+16	2.66842e+16	2.5327e+11	1.51237e+11	
44	6.02763e+39	-1.14672e+16	-3.32421e+16	-6.49739e+10	-1.88487e+11	
45	3.68724e+39	-2.17814e+16	1.41815e+16	-1.23492e+11	8.04349e+10	
46	1.52527e+39	-4.2912e+16	2.44788e+16	-2.43308e+11	1.3878e+11	
47	6.51065e+39	4.58173e+16	1.45174e+17	2.5974e+11	8.23036e+11	
48	2.42944e+39	-2.07027e+16	8.34386e+15	-1.17391e+11	4.72922e+10	
49	9.35798e+39	-2.03078e+16	3.9647e+15	-1.15176e+11	2.24678e+10	
50	2.63422e+39	-4.56261e+15	-2.43364e+16	-2.5893e+10	-1.37997e+11	
51	7.8521e+39	1.5058e+14	-1.52757e+16	8.18962e+08	-8.66497e+10	
52	9.53946e+39	-7.75044e+15	1.67703e+16	-4.39713e+10	9.5101e+10	
53	2.34612e+39	6.60826e+15	3.07553e+15	3.75993e+10	1.73556e+10	
54	5.09111e+39	1.06269e+16	2.3789e+16	6.02219e+10	1.34833e+11	
55	5.35623e+39	3.53897e+15	9.06764e+15	2.00837e+10	5.14523e+10	
56	2.12049e+39	8.32999e+15	-4.88764e+15	4.72574e+10	-2.77399e+10	
57	5.25224e+39	5.92375e+15	6.29863e+15	3.36154e+10	3.57159e+10	
58	2.29632e+39	3.35638e+15	1.84878e+15	1.90922e+10	1.04537e+10	
59	3.10412e+39	-1.39982e+16	1.73123e+15	-7.93725e+10	9.7911e+09	
60	2.49092e+39	-2.29165e+16	-2.4581e+16	-1.29962e+11	-1.39401e+11	
61	3.80798e+39	2.97872e+14	-1.93392e+15	1.68933e+09	-1.099e+10	
62	1.60845e+39	2.74746e+14	-1.59356e+16	1.58055e+09	-9.03804e+10	
63	2.45485e+39	-6.97739e+15	1.03257e+16	-3.95977e+10	5.85334e+10	
64	5.86444e+39	1.66019e+16	-1.71737e+16	9.41579e+10	-9.74103e+10	
65	7.65302e+39	2.38245e+16	4.14186e+16	1.35064e+11	2.34761e+11	
66	8.5197e+38	3.90659e+15	3.73322e+15	2.21517e+10	2.12036e+10	
67	4.55306e+39	-4.29272e+15	9.13608e+15	-2.43643e+10	5.18322e+10	
68	2.21978e+39	-3.27773e+15	8.81285e+15	-1.8602e+10	4.99137e+10	
69	6.30816e+39	-2.25016e+16	3.96272e+16	-1.27551e+11	2.24598e+11	
70	5.4795e+39	1.95304e+16	-1.64636e+16	1.10768e+11	-9.33559e+10	
71	2.42212e+39	2.89967e+16	1.93605e+16	1.64366e+11	1.0981e+11	
72	3.62692e+39	2.86188e+16	5.05736e+16	1.62285e+11	2.86688e+11	
73	7.80298e+39	-1.33178e+16	-1.37241e+16	-7.54727e+10	-7.77939e+10	
74	2.39657e+39	1.35035e+16	-3.25268e+16	7.65968e+10	-1.84413e+11	
75	7.24789e+39	5.62527e+15	-2.09236e+16	3.18758e+10	-1.18598e+11	
76	4.17198e+39	1.27109e+15	-9.05024e+15	7.18518e+09	-5.1282e+10	
77	3.59043e+39	1.76067e+16	1.17591e+16	9.98203e+10	6.66165e+10	
78	2.14495e+39	-5.05608e+15	4.93268e+15	-2.87032e+10	2.797e+10	
79	5.25762e+39	1.58709e+16	-4.38166e+16	9.00051e+10	-2.48399e+11	
80	5.94519e+39	-1.60226e+15	5.77944e+15	-9.08311e+09	3.27884e+10	
81	9.0359e+39	2.71327e+16	-1.69667e+16	1.53866e+11	-9.61962e+10	
82	2.39884e+39	-1.18696e+15	-1.12661e+16	-6.71415e+09	-6.38926e+10	
83	9.16308e+39	3.35246e+15	1.42132e+15	1.90418e+10	8.08991e+09	
84	1.68961e+39	9.74195e+15	-1.55023e+16	5.51977e+10	-8.79183e+10	
85	7.82904e+39	1.43662e+15	-7.88649e+15	8.14194e+09	-4.47298e+10	
86	7.70247e+39	-4.14427e+15	9.69037e+15	-2.35061e+10	5.49569e+10	
87	7.19545e+39	5.31125e+17	-2.12898e+17	3.01091e+12	-1.20693e+12	
88	2.93591e+38	2.07152e+16	7.9747e+16	1.17436e+11	4.5203e+11	
89	1.41028e+39	-5.0923e+15	1.17526e+16	-2.88764e+10	6.6648e+10	
90	8.37727e+39	-7.74553e+15	-4.25055e+15	-4.39333e+10	-2.41426e+10	
91	4.8545e+38	4.62446e+16	-8.11251e+16	2.62173e+11	-4.59885e+11	
92	1.32845e+39	1.2247e+14	-4.45241e+15	6.52417e+08	-2.52325e+10	
93	9.48969e+39	-5.97751e+15	2.99961e+16	-3.38366e+10	1.701e+11	
94	6.94476e+39	2.96261e+16	2.79331e+16	1.67987e+11	1.58401e+11	
95	6.46012e+39	1.56771e+16	-5.38097e+16	8.88951e+10	-3.05086e+11	
96	6.11464e+39	2.86671e+16	3.74345e+16	1.62535e+11	2.12217e+11	
97	7.27691e+39	1.6526e+16	2.71583e+16	9.37009e+10	1.53959e+11	
98	5.09703e+39	1.06547e+17	-8.59865e+16	6.04022e+11	-4.87427e+11	
99	3.95708e+39	-5.03373e+15	-5.09228e+15	-2.85665e+10	-2.88942e+10	
100	5.94387e+38	1.68849e+16	6.17638e+15	9.57647e+10	3.50606e+10	
101	5.83344e+39	2.0309e+16	-5.08076e+15	1.15175e+11	-2.88377e+10	
102	3.09923e+37	1.38847e+17	-4.61366e+16	7.87149e+11	-2.61585e+11	
103	3.87728e+39	2.23205e+17	-7.83503e+16	1.26537e+12	-4.44157e+11	
104	5.96736e+38	-2.23274e+17	3.35205e+17	-1.26568e+12	1.90027e+12	
105	5.29207e+39	-9.49441e+15	6.04866e+15	-5.38293e+10	3.42555e+10	
106	7.25565e+39	-2.14311e+15	-2.33804e+16	-1.21344e+10	-1.32544e+11	
107	4.86088e+39	-3.85739e+16	2.12101e+16	-2.18635e+11	1.20234e+11	
108	8.63972e+39	4.99678e+15	5.60382e+16	2.83686e+10	3.17689e+11	
109	3.03639e+39	3.08614e+17	-5.36146e+16	1.74956e+12	-3.03985e+11	
110	5.26084e+39	-8.46625e+15	2.96765e+16	-4.79647e+10	1.68283e+11	
111	7.55719e+39	-1.12355e+17	6.0544e+16	-6.36917e+11	3.43254e+11	
112	2.93942e+39	9.46744e+15	2.1139e+16	5.37012e+10	1.19888e+11	
113	9.26088e+39	3.30848e+15	-1.57971e+16	1.87281e+10	-8.95899e+10	
114	5.50141e+39	2.46585e+16	2.06011e+15	1.39818e+11	1.16243e+10	
115	3.68453e+39	-1.13524e+16	7.07988e+16	-6.43743e+10	4.01328e+11	
116	8.59388e+37	-2.9576e+16	2.76666e+15	-1.67611e+11	1.57248e+10	
117	6.556e+39	-4.36771e+15	-1.85965e+16	-2.47369e+10	-1.05476e+11	
118	2.34781e+39	2.09566e+16	2.66923e+16	1.18846e+11	1.51371e+11	
119	4.27402e+39	-5.26987e+16	-7.21968e+16	-2.98771e+11	-4.09255e+11	
120	8.47616e+39	2.75953e+15	-6.78451e+15	1.56752e+10	-3.84854e+10	
121	7.17636e+39	-6.23903e+16	5.46891e+15	-3.53706e+11	3.10186e+10	
122	9.37153e+39	-3.70901e+15	1.00148e+16	-2.09789e+10	5.68073e+10	
123	7.77212e+39	-3.14517e+15	-2.17485e+16	-1.78417e+10	-1.23285e+11	
124	9.70899e+39	-3.23159e+16	3.59992e+16	-1.83248e+11	2.04127e+11	
125	2.11959e+39	9.05848e+14	-1.26746e+15	5.07877e+09	-7.22872e+09	
126	9.18264e+39	8.67861e+14	-2.44323e+15	4.90637e+09	-1.38667e+10	
127	4.86648e+39	6.05009e+16	-1.50609e+16	3.42991e+11	-8.53706e+10	
128	5.46493e+39	2.42612e+17	9.36716e+16	1.37535e+12	5.31018e+11	
129	9.32351e+39	1.99133e+16	-2.76926e+15	1.12938e+11	-1.56987e+10	
130	1.61486e+39	3.81336e+15	4.81773e+15	2.16344e+10	2.72976e+10	
131	7.03592e+39	3.73896e+16	4.68014e+16	2.12005e+11	2.6533e+11	
132	8.71127e+39	7.12309e+15	6.68601e+15	4.04172e+10	3.78591e+10	
133	6.30017e+39	1.29809e+15	2.48601e+16	7.32817e+09	1.40975e+11	
134	7.65959e+39	5.72773e+15	4.50068e+16	3.24422e+10	2.55195e+11	
135	5.21541e+39	-1.09948e+16	9.9171e+15	-6.2328e+10	5.62053e+10	
136	9.04998e+39	-6.48964e+15	-2.20788e+15	-3.67847e+10	-1.25003e+10	
137	3.52705e+39	1.57694e+16	-8.67371e+14	8.94254e+10	-4.95429e+09	
138	5.94862e+39	-9.84897e+15	3.6738e+15	-5.58764e+10	2.08554e+10	
139	3.10492e+39	-3.35225e+15	-1.78626e+16	-1.89545e+10	-1.01227e+11	
140	8.81672e+39	-7.74237e+15	3.30084e+16	-4.39397e+10	1.87175e+11	
141	5.91373e+39	7.81684e+15	1.38945e+16	4.42962e+10	7.88218e+10	
142	1.01218e+39	9.17776e+15	8.75276e+15	5.20572e+10	4.96607e+10	
143	1.70025e+38	1.64376e+16	-4.9859e+14	9.32313e+10	-2.83486e+09	
144	7.77347e+39	1.5912e+16	-2.22945e+16	9.02579e+10	-1.2643e+11	
145	8.14988e+39	4.24263e+15	-3.40521e+15	2.41013e+10	-1.92763e+10	
146	8.5863e+39	-3.17867e+16	-6.31535e+16	-1.80172e+11	-3.57961e+11	
147	1.59254e+39	1.54548e+16	2.15535e+15	8.76603e+10	1.22432e+10	
148	6.12326e+39	-2.00706e+16	1.09054e+16	-1.13818e+11	6.1828e+10	
149	2.15075e+39	3.67647e+16	7.19949e+15	2.08422e+11	4.07794e+10	
150	7.77267e+39	1.25528e+15	-1.672e+16	7.09365e+09	-9.48317e+10	
151	5.53275e+38	-1.00959e+16	7.54606e+15	-5.72883e+10	4.2822e+10	
152	2.65858e+39	-6.10444e+15	-4.05106e+15	-3.46418e+10	-2.30034e+10	
153	5.04526e+39	3.75066e+15	-1.27748e+15	2.12932e+10	-7.30431e+09	
154	2.9411e+39	8.66017e+16	-6.57583e+16	4.90969e+11	-3.72797e+11	
155	2.00499e+39	-1.68396e+16	-1.54154e+16	-9.55126e+10	-8.74334e+10	
156	5.24046e+39	7.96393e+15	7.28591e+15	4.51762e+10	4.13324e+10	
157	3.40785e+38	-7.10089e+15	-7.53199e+14	-4.02957e+10	-4.27887e+09	
158	9.67247e+39	-2.02568e+16	4.99891e+15	-1.14831e+11	2.83585e+10	
159	8.40991e+39	-4.18431e+15	4.46348e+15	-2.36883e+10	2.52821e+10	
160	1.66593e+39	2.82498e+16	-6.30484e+16	1.60097e+11	-3.57427e+11	
161	6.45269e+39	-1.23881e+16	5.35604e+15	-7.02262e+10	3.03757e+10	
162	9.95139e+39	-8.47501e+15	-1.65237e+16	-4.80961e+10	-9.37259e+10	
163	8.25218e+39	-8.59824e+15	-4.19344e+15	-4.874e+10	-2.37525e+10	
164	1.42288e+39	-1.24272e+16	7.62911e+15	-7.04874e+10	4.32353e+10	
165	1.895e+39	-7.55559e+16	-2.34314e+16	-4.28343e+11	-1.32852e+11	
166	3.94862e+39	1.47036e+15	3.36654e+15	8.36646e+09	1.91162e+10	
167	5.88421e+39	-4.31777e+15	1.1107e+16	-2.44367e+10	6.30051e+10	
168	4.93717e+39	-1.5308e+16	2.24071e+16	-8.68054e+10	1.27068e+11	
169	9.27333e+39	4.69756e+15	9.27143e+16	2.66657e+10	5.25634e+11	
170	9.64299e+39	-2.03257e+16	2.07474e+16	-1.15255e+11	1.17582e+11	
171	3.24722e+39	-1.35276e+17	-5.74748e+16	-7.66849e+11	-3.25869e+11	
172	5.98004e+38	-5.54222e+15	-9.1647e+14	-3.14436e+10	-5.15164e+09	
173	7.69734e+38	-3.45295e+15	1.6078e+16	-1.95452e+10	9.11966e+10	
174	1.12329e+39	-1.2852e+16	-7.58899e+15	-7.28095e+10	-4.30617e+10	
175	9.51771e+39	-1.5038e+17	6.46967e+16	-8.52444e+11	3.66733e+11	
176	1.93484e+39	3.70781e+15	-7.19759e+14	2.10673e+10	-4.04523e+09	
